#,Company,Symbol,Portfolio%,Price
121,Csx Corporation,CSX,0.17%,34.33
122,Northrop Grumman Corp.,NOC,0.17%,465.42
123,"Waste Management, Inc.",WM,0.16%,177.63
124,Target Corporation,TGT,0.16%,137.72
125,Fedex Corporation,FDX,0.16%,281.92
126,Aon Plc Class A,AON,0.16%,314.05
127,Colgate-Palmolive Company,CL,0.16%,78.06
128,"Airbnb, Inc. Class A",ABNB,0.16%,147.5
129,"Chipotle Mexican Grill, Inc.",CMG,0.16%,"2,297.03"
130,Moody's Corporation,MCO,0.16%,390.99
131,Pnc Financial Services Group,PNC,0.15%,151.41
132,Marathon Petroleum Corporation,MPC,0.15%,151.81
133,Freeport-Mcmoran Inc.,FCX,0.15%,41.35
134,"Air Products & Chemicals, Inc.",APD,0.15%,271.2
135,Nxp Semiconductors N.v.,NXPI,0.15%,229.33
136,Mckesson Corporation,MCK,0.15%,447.54
137,3m Company,MMM,0.15%,105.87
138,Amphenol Corporation,APH,0.15%,98.56
139,Parker-Hannifin Corporation,PH,0.15%,453.49
140,Humana Inc.,HUM,0.15%,460.03
141,Phillips 66,PSX,0.15%,131.3
142,Arista Networks,ANET,0.15%,238.81
143,"O'reilly Automotive, Inc.",ORLY,0.14%,960.13
144,"Roper Technologies, Inc.",ROP,0.14%,542.97
145,General Dynamics Corporation,GD,0.14%,252.87
146,Lululemon Athletica Inc.,LULU,0.14%,501.5
147,"Hca Healthcare, Inc.",HCA,0.14%,267.18
148,Emerson Electric Co.,EMR,0.14%,96.05
149,Marriot International Class A,MAR,0.14%,222.12
150,Trane Technologies Plc,TT,0.14%,240.1
151,Transdigm Group Incorporated,TDG,0.14%,989.89
152,Pioneer Natural Resource Co.,PXD,0.13%,228.79
153,Norfolk Southern Corp.,NSC,0.13%,232.19
154,"Motorola Solutions, Inc.",MSI,0.13%,314.96
155,Autodesk Inc,ADSK,0.13%,239.14
156,Welltower Inc.,WELL,0.13%,90.14
157,Microchip Technology Inc,MCHP,0.13%,91.31
158,Paccar Inc,PCAR,0.13%,95.75
159,Truist Financial Corporation,TFC,0.13%,36.34
160,"Ecolab, Inc.",ECL,0.13%,196.75
161,General Motors Company,GM,0.13%,35.44
162,Crown Castle Inc.,CCI,0.13%,112.42
163,Capital One Financial,COF,0.12%,129.98
164,Carrier Global Corporation,CARR,0.12%,56.76
165,Arthur J. Gallagher & Co.,AJG,0.12%,227.56
166,Cintas Corp,CTAS,0.12%,560.66
167,Sempra,SRE,0.12%,74.8
168,"Autozone, Inc.",AZO,0.12%,"2,637.36"
169,"Simon Property Group, Inc.",SPG,0.12%,143.62
170,"Dexcom, Inc.",DXCM,0.12%,123.35
171,Ford Motor Company,F,0.12%,11.93
172,Newmont Corporation,NEM,0.12%,41.09
173,"American International Group, Inc.",AIG,0.12%,66.46
174,Edwards Lifesciences Corp,EW,0.12%,74.88
175,D.R. Horton Inc.,DHI,0.12%,148.6
176,Hilton Worldwide Holdings Inc.,HLT,0.12%,178.49
177,Public Storage,PSA,0.12%,289
178,Idexx Laboratories Inc,IDXX,0.12%,539.98
